    V       E    gmin    gmax    gmed    diam
-----------------------------------------------
   10       3       0       2     0.6       2
   20      15       0       3     1.5       8
   30      36       0       6     2.4       7
   40      70       0       8     3.5       6
   50     117       0       9     4.7       5
   60     174       1      10     5.8       4
   70     232       2      12     6.6       4
   80     305       1      13     7.6       4
   90     389       4      15     8.6       4
  100     477       4      18     9.5       4
  110     564       5      18    10.3       4
  120     665       3      18    11.1       4
  130     797       6      22    12.3       3
  140     941       6      22    13.4       3
  150    1082       6      23    14.4       3
  160    1220       6      26    15.2       3
  170    1393       8      25    16.4       3
  180    1593       7      32    17.7       3
  190    1759       9      30    18.5       3
  200    1958       9      30    19.6       3
